key,target_spk,interferer_spk,num_chunks,mean_local_target_interferer_si_sdr_gap,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_si_sdr_confirmed_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_si_sdr_confirmed_drift_rate,any_two_verifier_content_mismatch,any_two_verifier_si_sdr_confirmed_drift,any_tri_verifier_content_mismatch,any_tri_verifier_si_sdr_confirmed_drift,two_verifier_content_mismatch_ge20pct,two_verifier_si_sdr_confirmed_drift_ge20pct,tri_verifier_content_mismatch_ge20pct,tri_verifier_si_sdr_confirmed_drift_ge20pct
121-123852-0002_1188-133604-0003__T1__NBASIC__121,121,1188,23,33.91143247747946,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123852-0002_1188-133604-0003__T2__NBASIC__1188,1188,121,23,41.751810024822674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123852-0004_7176-92135-0002__T1__NBASIC__121,121,7176,5,32.192689059302246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123852-0004_7176-92135-0002__T2__NBASIC__7176,7176,121,5,42.37980326237455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123859-0003_260-123288-0025__T1__NBASIC__121,121,260,18,36.17757791004035,0.0,0.1111111111111111,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,1,0,0,0,0,0,0,0
121-123859-0003_260-123288-0025__T2__NBASIC__260,260,121,18,48.881396313248956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123859-0004_2830-3980-0075__T1__NBASIC__121,121,2830,9,19.948769934457832,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,1,0,1,0,0,0,0,0
121-123859-0004_2830-3980-0075__T2__NBASIC__2830,2830,121,9,32.67454542887442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0000_5142-33396-0044__T1__NBASIC__121,121,5142,8,31.975150476460655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0000_5142-33396-0044__T2__NBASIC__5142,5142,121,8,29.875343448862672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0002_4446-2273-0036__T1__NBASIC__121,121,4446,5,23.762298081375693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0002_4446-2273-0036__T2__NBASIC__4446,4446,121,5,30.96808852560714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0005_4507-16021-0046__T1__NBASIC__121,121,4507,8,36.25622216171269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0005_4507-16021-0046__T2__NBASIC__4507,4507,121,8,42.969383159665654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0019_4446-2275-0029__T1__NBASIC__121,121,4446,6,28.97914749168058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0019_4446-2275-0029__T2__NBASIC__4446,4446,121,6,19.890364207099722,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,1,0,1,0,0,0,0,0
121-127105-0020_5683-32866-0030__T1__NBASIC__121,121,5683,8,24.836352365184986,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,1,1,0,0,0,0
121-127105-0020_5683-32866-0030__T2__NBASIC__5683,5683,121,8,36.54281580194918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0023_1580-141083-0021__T1__NBASIC__121,121,1580,6,24.22249959094701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0023_1580-141083-0021__T2__NBASIC__1580,1580,121,6,32.71376152960317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0026_7127-75946-0017__T1__NBASIC__121,121,7127,14,15.29294243307208,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0026_7127-75946-0017__T2__NBASIC__7127,7127,121,14,25.98644751323879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
