key,target_spk,interferer_spk,num_chunks,mean_local_target_interferer_si_sdr_gap,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_si_sdr_confirmed_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_si_sdr_confirmed_drift_rate,any_two_verifier_content_mismatch,any_two_verifier_si_sdr_confirmed_drift,any_tri_verifier_content_mismatch,any_tri_verifier_si_sdr_confirmed_drift,two_verifier_content_mismatch_ge20pct,two_verifier_si_sdr_confirmed_drift_ge20pct,tri_verifier_content_mismatch_ge20pct,tri_verifier_si_sdr_confirmed_drift_ge20pct
1188-133604-0038_5142-33396-0043__T2__NBASIC__5142,5142,1188,6,49.54963665160959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0040_4970-29093-0002__T1__NBASIC__1188,1188,4970,5,38.148900587447244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0040_4970-29093-0002__T2__NBASIC__4970,4970,1188,5,32.436173294651155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0000_3570-5694-0022__T1__NBASIC__121,121,3570,7,6.132041578384073,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1,1,1,1,0,0,0,0
121-121726-0000_3570-5694-0022__T2__NBASIC__3570,3570,121,7,41.20762466345504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0003_672-122797-0059__T1__NBASIC__121,121,672,6,29.164043618148963,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,1,0,0,0,0,0,0,0
121-121726-0003_672-122797-0059__T2__NBASIC__672,672,121,6,37.82856712963824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0006_61-70970-0003__T1__NBASIC__121,121,61,6,35.42982043643931,0.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,1,0,0,0,0,0,0,0
121-121726-0006_61-70970-0003__T2__NBASIC__61,61,121,6,32.30087403596133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0008_4446-2273-0000__T1__NBASIC__121,121,4446,8,26.209142597772054,0.0,0.375,0.25,0.0,0.25,0.0,0.0,0.0,1,0,0,0,1,0,0,0
121-121726-0008_4446-2273-0000__T2__NBASIC__4446,4446,121,8,43.207680457827124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0010_260-123286-0031__T1__NBASIC__121,121,260,8,39.06709403714506,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0010_260-123286-0031__T2__NBASIC__260,260,121,8,43.04109318368283,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0011_237-126133-0017__T1__NBASIC__121,121,237,7,-0.35047983561883306,0.42857142857142855,0.8571428571428571,0.7142857142857143,1.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,1,1,1,1,1,1,1,1
121-121726-0011_237-126133-0017__T2__NBASIC__237,237,121,7,25.006651062805037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0014_7021-79740-0000__T1__NBASIC__121,121,7021,5,35.49897156260242,0.0,0.4,0.2,0.0,0.2,0.0,0.0,0.0,1,0,0,0,1,0,0,0
121-121726-0014_7021-79740-0000__T2__NBASIC__7021,7021,121,5,44.04251976432068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123852-0002_1188-133604-0003__T1__NBASIC__121,121,1188,23,36.403081141875425,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123852-0002_1188-133604-0003__T2__NBASIC__1188,1188,121,23,40.38990160004888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123852-0004_7176-92135-0002__T1__NBASIC__121,121,7176,5,34.53749296133051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123852-0004_7176-92135-0002__T2__NBASIC__7176,7176,121,5,43.163609231373606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123859-0003_260-123288-0025__T1__NBASIC__121,121,260,18,41.60464648870355,0.0,0.1111111111111111,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,1,0,0,0,0,0,0,0
121-123859-0003_260-123288-0025__T2__NBASIC__260,260,121,18,50.201243131243004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123859-0004_2830-3980-0075__T1__NBASIC__121,121,2830,9,35.9284685255773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123859-0004_2830-3980-0075__T2__NBASIC__2830,2830,121,9,38.070347223562905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0000_5142-33396-0044__T1__NBASIC__121,121,5142,8,31.380952756545767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0000_5142-33396-0044__T2__NBASIC__5142,5142,121,8,32.26818406789606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0002_4446-2273-0036__T1__NBASIC__121,121,4446,5,-26.154007965489665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1
121-127105-0002_4446-2273-0036__T2__NBASIC__4446,4446,121,5,32.36181791099865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0005_4507-16021-0046__T1__NBASIC__121,121,4507,8,42.04547959249495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0005_4507-16021-0046__T2__NBASIC__4507,4507,121,8,44.03163103443905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
