key,usef_sisnri,tfc_sisnri,tfc_sisdr,usef_drift_rate,tfc_drift_rate,usef_low_sisnri,usef_good_sisnri,usef_high_drift,usef_any_drift,usef_low_high_drift,usef_good_high_drift,tfc_low_sisnri,tfc_good_sisnri,tfc_high_drift,tfc_any_drift,tfc_low_high_drift,tfc_good_high_drift
1089-134691-0002_8455-210777-0005__T2__SCV3TTSENR__8455-8455-210777-0005__VOICE__1089,22.0099177438704,18.619920822856088,15.130745858001212,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0005_908-157963-0011__T1__SCV3TTSENR__1089-1089-134691-0005__VOICE__908,19.62412927355929,16.241322131094815,12.78439621085376,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0005_908-157963-0011__T2__SCV3TTSENR__908-908-157963-0011__VOICE__1089,6.718773282367092,13.409353621763222,16.842765344745843,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False
1089-134691-0006_4446-2275-0012__T1__SCV3TTSENR__1089-1089-134691-0006__VOICE__4446,18.83519956342027,14.9446660498237,17.923760615512965,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0006_4446-2275-0012__T2__SCV3TTSENR__4446-4446-2275-0012__VOICE__1089,-30.35629237082288,17.428599078398832,14.674323163150856,0.9,0.0,True,False,True,True,True,False,False,True,False,False,False,False
1089-134691-0006_4446-2275-0026__T1__SCV3TTSENR__1089-1089-134691-0006__VOICE__4446,21.44344024513965,16.443869172519598,17.139793964427493,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0006_4446-2275-0026__T2__SCV3TTSENR__4446-4446-2275-0026__VOICE__1089,20.444145738237925,16.366968873844627,15.64718988902548,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0012_1320-122612-0015__T1__SCV3TTSENR__1089-1089-134691-0012__VOICE__1320,23.47807305759124,19.0443015841696,17.233968759785864,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0012_1320-122612-0015__T2__SCV3TTSENR__1320-1320-122612-0015__VOICE__1089,21.918551105698047,17.279672751436884,19.14407048372254,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0013_4992-23283-0007__T1__SCV3TTSENR__1089-1089-134691-0013__VOICE__4992,18.617787089589104,18.22691533982461,15.319091431821851,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0013_4992-23283-0007__T2__SCV3TTSENR__4992-4992-23283-0007__VOICE__1089,16.241764311141154,15.403523132660004,18.34516139941052,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0014_237-134500-0012__T1__SCV3TTSENR__1089-1089-134691-0014__VOICE__237,25.5591107165408,21.266445923300942,17.800961228363068,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
