key,usef_sisnri,tfc_sisnri,tfc_sisdr,usef_drift_rate,tfc_drift_rate,usef_low_sisnri,usef_good_sisnri,usef_high_drift,usef_any_drift,usef_low_high_drift,usef_good_high_drift,tfc_low_sisnri,tfc_good_sisnri,tfc_high_drift,tfc_any_drift,tfc_low_high_drift,tfc_good_high_drift,case_type,sisnri_gap_tfc_minus_usef
4446-2273-0034_1284-1180-0005__T1__SCV3TTSENR__4446-4446-2273-0034__VOICE__1284,-40.50716156436086,-32.831640233932376,-36.3228083777539,0.8333333333333334,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,7.675521330428481
4446-2275-0006_2300-131720-0005__T1__SCV3TTSENR__4446-4446-2275-0006__VOICE__2300,-37.776350576549824,-30.382840846245244,-33.59909762886075,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,7.393509730304579
4446-2273-0008_260-123440-0009__T1__SCV3TTSENR__4446-4446-2273-0008__VOICE__260,-39.62823527370119,-32.40951990882952,-33.73943296721575,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,7.21871536487167
3570-5694-0020_4446-2273-0000__T2__SCV3TTSENR__4446-4446-2273-0000__VOICE__3570,-41.60057352066673,-34.39112001519683,-35.69337809392159,1.0,0.9375,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,7.209453505469895
4446-2273-0009_237-126133-0021__T1__SCV3TTSENR__4446-4446-2273-0009__VOICE__237,-35.0694735646246,-27.888819165419747,-33.98680540512959,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,7.180654399204855
4446-2273-0005_4992-23283-0009__T1__SCV3TTSENR__4446-4446-2273-0005__VOICE__4992,-33.789636620417,-26.64308807542009,-30.59924075162779,0.8571428571428571,0.7142857142857143,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,7.146548544996911
4507-16021-0005_8463-294825-0006__T2__SCV3TTSENR__8463-8463-294825-0006__VOICE__4507,-41.44712068605456,-34.95210415510774,-31.9789136826973,1.0,0.8571428571428571,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,6.49501653094682
6829-68771-0006_8463-294828-0016__T2__SCV3TTSENR__8463-8463-294828-0016__VOICE__6829,-31.53874923578956,-25.21000991963293,-31.479602660640893,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,6.3287393161566285
1995-1826-0025_8463-294825-0008__T2__SCV3TTSENR__8463-8463-294825-0008__VOICE__1995,-42.03832658838057,-36.11814749181582,-39.50857551588762,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,5.920179096564752
4970-29095-0008_5142-36377-0007__T1__SCV3TTSENR__4970-4970-29095-0008__VOICE__5142,-44.61075731099182,-38.74691378024209,-36.15511144788559,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,5.863843530749733
