key,target_spk,interferer_spk,mix_sisnr,est_sisnr,sisnr_i,est_path
1188-133604-0011_4970-29095-0008__T2__NBASIC__4970,4970,1188,-3.743516,8.230000,11.970000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0011_4970-29095-0008__T2__NBASIC__4970.wav
1188-133604-0012_5105-28241-0016__T1__NBASIC__1188,1188,5105,0.512314,-11.660000,-12.160000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0012_5105-28241-0016__T1__NBASIC__1188.wav
1188-133604-0012_5105-28241-0016__T2__NBASIC__5105,5105,1188,-0.602034,11.390000,11.980000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0012_5105-28241-0016__T2__NBASIC__5105.wav
1188-133604-0016_7176-88083-0018__T1__NBASIC__1188,1188,7176,3.036628,4.790000,1.750000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0016_7176-88083-0018__T1__NBASIC__1188.wav
1188-133604-0016_7176-88083-0018__T2__NBASIC__7176,7176,1188,-2.780720,3.830000,6.610000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0016_7176-88083-0018__T2__NBASIC__7176.wav
1188-133604-0017_6930-81414-0007__T1__NBASIC__1188,1188,6930,6.678407,17.530000,10.850000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0017_6930-81414-0007__T1__NBASIC__1188.wav
1188-133604-0017_6930-81414-0007__T2__NBASIC__6930,6930,1188,-6.651307,10.650000,17.300000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0017_6930-81414-0007__T2__NBASIC__6930.wav
1188-133604-0019_8224-274384-0008__T1__NBASIC__1188,1188,8224,4.059309,15.540000,11.480000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0019_8224-274384-0008__T1__NBASIC__1188.wav
1188-133604-0019_8224-274384-0008__T2__NBASIC__8224,8224,1188,-4.000030,9.430000,13.430000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0019_8224-274384-0008__T2__NBASIC__8224.wav
1188-133604-0020_3729-6852-0044__T1__NBASIC__1188,1188,3729,4.141903,16.550000,12.420000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0020_3729-6852-0044__T1__NBASIC__1188.wav
