key,target_spk,interferer_spk,mix_sisnr,est_sisnr,sisnr_i,est_path
121-121726-0000_3570-5694-0022__T2__NBASIC__3570,3570,121,-1.729863,12.450000,14.180000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0000_3570-5694-0022__T2__NBASIC__3570.wav
121-121726-0003_672-122797-0059__T1__NBASIC__121,121,672,1.809121,6.510000,4.700000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0003_672-122797-0059__T1__NBASIC__121.wav
121-121726-0003_672-122797-0059__T2__NBASIC__672,672,121,-1.908162,-6.820000,-4.910000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0003_672-122797-0059__T2__NBASIC__672.wav
121-121726-0006_61-70970-0003__T1__NBASIC__121,121,61,2.647803,12.970000,10.320000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0006_61-70970-0003__T1__NBASIC__121.wav
121-121726-0006_61-70970-0003__T2__NBASIC__61,61,121,-2.735157,9.800000,12.540000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0006_61-70970-0003__T2__NBASIC__61.wav
121-121726-0008_4446-2273-0000__T1__NBASIC__121,121,4446,-1.695056,13.080000,14.770000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0008_4446-2273-0000__T1__NBASIC__121.wav
121-121726-0008_4446-2273-0000__T2__NBASIC__4446,4446,121,1.830974,14.420000,12.590000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0008_4446-2273-0000__T2__NBASIC__4446.wav
121-121726-0010_260-123286-0031__T1__NBASIC__121,121,260,0.139636,13.680000,13.540000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0010_260-123286-0031__T1__NBASIC__121.wav
121-121726-0010_260-123286-0031__T2__NBASIC__260,260,121,-0.386629,13.980000,14.360000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0010_260-123286-0031__T2__NBASIC__260.wav
121-121726-0011_237-126133-0017__T1__NBASIC__121,121,237,-4.960973,-6.900000,-1.940000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0011_237-126133-0017__T1__NBASIC__121.wav
121-121726-0011_237-126133-0017__T2__NBASIC__237,237,121,5.080667,4.960000,-0.120000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0011_237-126133-0017__T2__NBASIC__237.wav
121-121726-0014_7021-79740-0000__T1__NBASIC__121,121,7021,-6.057292,10.690000,16.730000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0014_7021-79740-0000__T1__NBASIC__121.wav
121-121726-0014_7021-79740-0000__T2__NBASIC__7021,7021,121,6.255883,16.780000,10.540000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0014_7021-79740-0000__T2__NBASIC__7021.wav
121-123852-0002_1188-133604-0003__T2__NBASIC__1188,1188,121,3.985467,14.740000,10.760000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-123852-0002_1188-133604-0003__T2__NBASIC__1188.wav
121-123852-0002_1188-133604-0003__T1__NBASIC__121,121,1188,-3.928967,9.950000,13.870000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-123852-0002_1188-133604-0003__T1__NBASIC__121.wav
121-123852-0004_7176-92135-0002__T1__NBASIC__121,121,7176,-4.054819,10.500000,14.560000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-123852-0004_7176-92135-0002__T1__NBASIC__121.wav
