key,target_spk,interferer_spk,speaker_similarity,chunks,ecapa_mismatch_rate,sb_mismatch_rate_enroll,sb_mismatch_rate_targetref,mv_mismatch_rate_enroll,mv_mismatch_rate_targetref,ecapa_true_swap_rate,mv_true_swap_rate_enroll,mv_true_swap_rate_targetref,sb_gap_enroll_mean,sb_gap_targetref_mean
7021-79730-0004_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0032,2830,1188,0.48153555393218994,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0014613370100657146,-0.0019668440024058023
61-70970-0028_2300-131720-0013__T1__61-61-70970-0028__SIM__7176-7176-92135-0024,61,7176,0.5299987196922302,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001069622380392892,0.0013113788196018764
61-70970-0028_2300-131720-0013__T2__2300-2300-131720-0013__SIM__8455-8455-210777-0036,2300,8455,0.32524049282073975,25,0.16,0.6,0.2,0.16,0.12,0.0,0.0,0.0,-0.00010037422180175781,0.0005421304702758789
7021-85628-0018_4507-16021-0039__T1__7021-7021-85628-0018__SIM__5105-5105-28233-0006,7021,5105,0.4939168095588684,10,0.2,0.9,0.2,0.2,0.2,0.0,0.0,0.0,-0.0006399095058441162,0.00048328042030334475
7021-85628-0018_4507-16021-0039__T2__4507-4507-16021-0039__SIM__3729-3729-6852-0040,4507,3729,0.5184850692749023,20,0.2,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.00046776533126831056,0.00019266009330749513
1580-141083-0041_8463-294828-0011__T1__1580-1580-141083-0041__SIM__4446-4446-2273-0019,1580,4446,0.42495131492614746,5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.000617516040802002,0.0010943174362182616
1580-141083-0041_8463-294828-0011__T2__8463-8463-294828-0011__SIM__4992-4992-41797-0014,8463,4992,0.41076433658599854,6,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.00011446078618367513,0.0013200938701629639
1580-141083-0038_4077-13754-0009__T1__1580-1580-141083-0038__SIM__4446-4446-2273-0036,1580,4446,0.42495131492614746,5,0.2,0.8,0.4,0.2,0.2,0.0,0.0,0.0,-0.00032212734222412107,0.00041698217391967775
1580-141083-0038_4077-13754-0009__T2__4077-4077-13754-0009__SIM__8455-8455-210777-0011,4077,8455,0.3561401963233948,12,0.08333333333333333,0.75,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,-0.00030000507831573486,0.00011510650316874187
5639-40744-0033_4446-2273-0035__T1__5639-5639-40744-0033__SIM__3570-3570-5695-0015,5639,3570,0.3402653634548187,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023913894380841938,0.0028185035501207623
5639-40744-0033_4446-2273-0035__T2__4446-4446-2273-0035__SIM__4992-4992-41806-0004,4446,4992,0.4965977966785431,6,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,-0.0010214149951934814,0.0007800161838531494
4446-2271-0014_3570-5694-0003__T1__4446-4446-2271-0014__SIM__4992-4992-41806-0004,4446,4992,0.4965977966785431,6,1.0,1.0,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0034834245840708413,-9.951988855997722e-05
4446-2271-0014_3570-5694-0003__T2__3570-3570-5694-0003__SIM__2961-2961-961-0008,3570,2961,0.5091915130615234,13,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0004089566377493051,0.0009867090445298415
1995-1837-0027_4970-29095-0022__T1__1995-1995-1837-0027__SIM__2094-2094-142345-0043,1995,2094,0.399920254945755,12,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001100286841392517,0.0007991790771484375
1995-1837-0027_4970-29095-0022__T2__4970-4970-29095-0022__SIM__6829-6829-68771-0012,4970,6829,0.40176182985305786,8,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0005213618278503418,0.002458535134792328
4446-2275-0008_2300-131720-0032__T1__4446-4446-2275-0008__SIM__4992-4992-41806-0016,4446,4992,0.4965977966785431,7,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,-0.0006932190486363002,2.0674296787806918e-05
4446-2275-0008_2300-131720-0032__T2__2300-2300-131720-0032__SIM__8455-8455-210777-0041,2300,8455,0.32524049282073975,11,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0007606744766235352,0.00011407245289195667
4446-2273-0019_8555-284447-0022__T1__4446-4446-2273-0019__SIM__4992-4992-23283-0008,4446,4992,0.4965977966785431,5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003046393394470215,0.0017227411270141601
4446-2273-0019_8555-284447-0022__T2__8555-8555-284447-0022__SIM__4970-4970-29095-0006,8555,4970,0.37955009937286377,6,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,-0.00027240316073099774,-0.0011942585309346516
3729-6852-0009_8455-210777-0059__T1__3729-3729-6852-0009__SIM__4507-4507-16021-0051,3729,4507,0.5184850692749023,11,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006941177628257058,0.0013960003852844238
3729-6852-0009_8455-210777-0059__T2__8455-8455-210777-0059__SIM__1320-1320-122617-0027,8455,1320,0.4503328502178192,10,0.5,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0006674647331237793,0.0011054277420043945
8455-210777-0020_61-70968-0054__T1__8455-8455-210777-0020__SIM__1320-1320-122617-0000,8455,1320,0.4503328502178192,5,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0009319663047790527,0.0022780179977416994
8455-210777-0020_61-70968-0054__T2__61-61-70968-0054__SIM__7176-7176-88083-0012,61,7176,0.5299987196922302,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008360015021430121,0.000865691237979465
7729-102255-0023_61-70968-0033__T1__7729-7729-102255-0023__SIM__7176-7176-92135-0023,7729,7176,0.3512346148490906,9,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013228853543599446,0.001453187730577257
7729-102255-0023_61-70968-0033__T2__61-61-70968-0033__SIM__7176-7176-92135-0006,61,7176,0.5299987196922302,10,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006019651889801025,0.0008231818675994873
8463-287645-0002_260-123440-0015__T1__8463-8463-287645-0002__SIM__4992-4992-41797-0008,8463,4992,0.41076433658599854,16,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,-0.00234869122505188,-0.0016286037862300873
8463-287645-0002_260-123440-0015__T2__260-260-123440-0015__SIM__672-672-122797-0058,260,672,0.5427588224411011,7,0.42857142857142855,1.0,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,-0.0011691195624215262,-0.00016615220478602817
6829-68771-0029_4992-41797-0011__T1__6829-6829-68771-0029__SIM__4970-4970-29095-0025,6829,4970,0.40176182985305786,6,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016308128833770752,0.0019380152225494385
6829-68771-0029_4992-41797-0011__T2__4992-4992-41797-0011__SIM__4446-4446-2275-0012,4992,4446,0.4965977966785431,9,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028390420807732474,0.0032139155599806043
260-123440-0017_7729-102255-0008__T1__260-260-123440-0017__SIM__672-672-122797-0050,260,672,0.5427588224411011,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010528683662414551,0.0018921971321105957
260-123440-0017_7729-102255-0008__T2__7729-7729-102255-0008__SIM__7176-7176-92135-0016,7729,7176,0.3512346148490906,14,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0010105201176234654,0.0014815032482147217
260-123440-0011_1320-122617-0016__T1__260-260-123440-0011__SIM__672-672-122797-0031,260,672,0.5427588224411011,6,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,-0.0007289250691731771,0.0009973843892415364
260-123440-0011_1320-122617-0016__T2__1320-1320-122617-0016__SIM__5105-5105-28241-0003,1320,5105,0.49767372012138367,6,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006159543991088867,0.0010870297749837239
8463-294828-0009_3570-5694-0015__T1__8463-8463-294828-0009__SIM__4992-4992-41806-0008,8463,4992,0.41076433658599854,7,0.0,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,-0.0006665331976754325,-0.0002212865012032645
8463-294828-0009_3570-5694-0015__T2__3570-3570-5694-0015__SIM__2961-2961-961-0009,3570,2961,0.5091915130615234,10,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,-0.0006863594055175782,0.0004404544830322266
260-123286-0030_3729-6852-0004__T1__260-260-123286-0030__SIM__672-672-122797-0051,260,672,0.5427588224411011,8,0.5,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0006195753812789917,0.0010266080498695374
260-123286-0030_3729-6852-0004__T2__3729-3729-6852-0004__SIM__4507-4507-16021-0046,3729,4507,0.5184850692749023,8,0.5,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.00012480467557907104,0.0008659586310386658
4077-13751-0017_5105-28241-0009__T1__4077-4077-13751-0017__SIM__8455-8455-210777-0026,4077,8455,0.3561401963233948,5,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.00023126602172851562,0.0009009242057800293
4077-13751-0017_5105-28241-0009__T2__5105-5105-28241-0009__SIM__1320-1320-122617-0018,5105,1320,0.49767372012138367,13,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0005363730283883902,0.002416711587172288
1995-1826-0025_7021-85628-0007__T1__1995-1995-1826-0025__SIM__2094-2094-142345-0006,1995,2094,0.399920254945755,5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0003199458122253418,0.002156078815460205
1995-1826-0025_7021-85628-0007__T2__7021-7021-85628-0007__SIM__5105-5105-28240-0000,7021,5105,0.4939168095588684,9,0.4444444444444444,1.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,-0.0009649660852220324,0.0007861389054192437
1221-135766-0006_7176-92135-0040__T1__1221-1221-135766-0006__SIM__4992-4992-41797-0014,1221,4992,0.4118971824645996,13,0.07692307692307693,0.5384615384615384,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,-0.0001289798663212703,-0.0002281344853914701
1221-135766-0006_7176-92135-0040__T2__7176-7176-92135-0040__SIM__61-61-70970-0000,7176,61,0.5299987196922302,11,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010115558450872247,0.0014342394742098722
6930-81414-0002_7021-85628-0023__T1__6930-6930-81414-0002__SIM__260-260-123286-0008,6930,260,0.45737409591674805,5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007044553756713867,0.0026943802833557127
6930-81414-0002_7021-85628-0023__T2__7021-7021-85628-0023__SIM__5105-5105-28240-0015,7021,5105,0.4939168095588684,16,0.1875,0.75,0.1875,0.1875,0.0625,0.0,0.0,0.0,-0.0005658604204654694,0.0007198713719844818
2830-3980-0071_5142-33396-0024__T1__2830-2830-3980-0071__SIM__1188-1188-133604-0015,2830,1188,0.48153555393218994,6,0.3333333333333333,0.5,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,-8.93076260884603e-06,0.00038584073384602863
2830-3980-0071_5142-33396-0024__T2__5142-5142-33396-0024__SIM__4970-4970-29095-0005,5142,4970,0.3367147445678711,8,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010965913534164429,0.0016341358423233032
908-31957-0019_4970-29095-0028__T1__908-908-31957-0019__SIM__7021-7021-85628-0021,908,7021,0.4000934958457947,9,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012704266442192926,0.0013889405462476942
908-31957-0019_4970-29095-0028__T2__4970-4970-29095-0028__SIM__6829-6829-68769-0027,4970,6829,0.40176182985305786,5,0.2,1.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.0010708451271057128,0.0018694639205932618
4970-29095-0011_6930-75918-0006__T1__4970-4970-29095-0011__SIM__6829-6829-68769-0005,4970,6829,0.40176182985305786,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016611218452453613,0.0013074874877929688
4970-29095-0011_6930-75918-0006__T2__6930-6930-75918-0006__SIM__260-260-123286-0009,6930,260,0.45737409591674805,10,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001682835817337036,0.0015416443347930908
4992-41797-0021_5142-33396-0064__T1__4992-4992-41797-0021__SIM__4446-4446-2273-0008,4992,4446,0.4965977966785431,14,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020798231874193463,0.0024098498480660574
4992-41797-0021_5142-33396-0064__T2__5142-5142-33396-0064__SIM__4970-4970-29093-0010,5142,4970,0.3367147445678711,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032489776611328127,0.005009007453918457
