case_category,case_rank,key,chunk_idx,start_sec,end_sec,sb_sim_target_enroll,sb_sim_target_ref,sb_sim_interferer,sb_gap_enroll_vs_interferer,sb_gap_targetref_vs_interferer,sb_mismatch_enroll,sb_mismatch_targetref,ecapa_speaker_mismatch_rate,ecapa_speaker_gap_mean,sisnr_i
true_local_swap,1,8455-210777-0053_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0014,4,2.0,3.0,0.993644038452651,0.9934188520957712,0.9949032462280465,-0.0012592077753954545,-0.0014843941322753018,True,True,1.0,-0.12831676023473096,-56.2882310729261
true_local_swap,1,8455-210777-0053_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0014,5,2.5,3.5,0.9929858843570488,0.9930795828567618,0.9947452942263406,-0.0017594098692917948,-0.0016657113695788262,True,True,1.0,-0.12831676023473096,-56.2882310729261
true_local_swap,2,8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000,0,0.0,1.0,0.9896907006267079,0.9908594285477509,0.9938354889466852,-0.004144788319977222,-0.002976060398934277,True,True,1.0,-0.09290942460519472,-54.49157849201988
true_local_swap,2,8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000,1,0.5,1.5,0.991042653233047,0.9917310869074679,0.9945102731166916,-0.003467619883644635,-0.002779186209223683,True,True,1.0,-0.09290942460519472,-54.49157849201988
true_local_swap,2,8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000,2,1.0,2.0,0.9928793700101176,0.9930176527997154,0.9958133495851662,-0.0029339795750485953,-0.002795696785450774,True,True,1.0,-0.09290942460519472,-54.49157849201988
true_local_swap,2,8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000,3,1.5,2.5,0.9922698528521746,0.9931206496361056,0.9952084220213828,-0.002938569169208205,-0.0020877723852772423,True,True,1.0,-0.09290942460519472,-54.49157849201988
true_local_swap,2,8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000,4,2.0,3.0,0.9903126155149251,0.9918803369438965,0.9942589799393444,-0.003946364424419313,-0.002378642995447877,True,True,1.0,-0.09290942460519472,-54.49157849201988
true_local_swap,2,8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000,5,2.5,3.5,0.9920213019343732,0.9930862581647523,0.9947954217315941,-0.002774119797220864,-0.0017091635668418093,True,True,1.0,-0.09290942460519472,-54.49157849201988
true_local_swap,2,8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000,6,3.0,4.0,0.9917717372768147,0.9925363456902755,0.9946642915157109,-0.0028925542388962278,-0.0021279458254354067,True,True,1.0,-0.09290942460519472,-54.49157849201988
true_local_swap,2,8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000,7,3.5,4.5,0.9921664392501494,0.992769280651283,0.99491445220483,-0.0027480129546806342,-0.0021451715535469873,True,True,1.0,-0.09290942460519472,-54.49157849201988
true_local_swap,2,8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000,8,4.0,5.0,0.9923504984005054,0.9928622639008151,0.9945928255480545,-0.002242327147549128,-0.0017305616472393925,True,True,1.0,-0.09290942460519472,-54.49157849201988
true_local_swap,3,4970-29095-0037_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-23283-0015,0,0.0,1.0,0.9960148135300212,0.9923381010905855,0.9964881340047163,-0.00047332047469506033,-0.004150032914130741,True,True,1.0,-0.07794783004846195,-53.447947283960815
true_local_swap,3,4970-29095-0037_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-23283-0015,1,0.5,1.5,0.9953696528678756,0.9926331440763229,0.9958251515541392,-0.00045549868626360013,-0.0031920074778163388,True,True,1.0,-0.07794783004846195,-53.447947283960815
