key,target_spk,interferer_spk,num_chunks,mean_local_target_interferer_si_sdr_gap,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_si_sdr_confirmed_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_si_sdr_confirmed_drift_rate,any_two_verifier_content_mismatch,any_two_verifier_si_sdr_confirmed_drift,any_tri_verifier_content_mismatch,any_tri_verifier_si_sdr_confirmed_drift,two_verifier_content_mismatch_ge20pct,two_verifier_si_sdr_confirmed_drift_ge20pct,tri_verifier_content_mismatch_ge20pct,tri_verifier_si_sdr_confirmed_drift_ge20pct
121-121726-0006_61-70970-0003__T2__NBASIC__61,61,121,6,28.43659691447814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0008_4446-2273-0000__T1__NBASIC__121,121,4446,8,26.86377843604188,0.0,0.25,0.125,0.0,0.125,0.0,0.0,0.0,1,0,0,0,0,0,0,0
121-121726-0008_4446-2273-0000__T2__NBASIC__4446,4446,121,8,30.518162107041103,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0010_260-123286-0031__T1__NBASIC__121,121,260,8,33.23458096593082,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0010_260-123286-0031__T2__NBASIC__260,260,121,8,27.88411811293568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0011_237-126133-0017__T1__NBASIC__121,121,237,7,-5.087594654983522,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.42857142857142855,1,1,1,1,1,1,1,1
121-121726-0011_237-126133-0017__T2__NBASIC__237,237,121,7,26.792167377580434,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,1,0,0,0,0,0,0,0
121-121726-0014_7021-79740-0000__T1__NBASIC__121,121,7021,5,34.2362446806951,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0014_7021-79740-0000__T2__NBASIC__7021,7021,121,5,40.529184122182926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123852-0002_1188-133604-0003__T1__NBASIC__121,121,1188,23,32.09421430433289,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123852-0002_1188-133604-0003__T2__NBASIC__1188,1188,121,23,39.35634470287975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123852-0004_7176-92135-0002__T1__NBASIC__121,121,7176,5,31.092454449408685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123852-0004_7176-92135-0002__T2__NBASIC__7176,7176,121,5,41.07309107108633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123859-0003_260-123288-0025__T1__NBASIC__121,121,260,18,31.973238748129926,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,1,0,1,0,0,0,0,0
121-123859-0003_260-123288-0025__T2__NBASIC__260,260,121,18,44.43088471449392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-123859-0004_2830-3980-0075__T1__NBASIC__121,121,2830,9,19.905188733109746,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,1,1,1,1,0,0,0,0
121-123859-0004_2830-3980-0075__T2__NBASIC__2830,2830,121,9,41.234175428900485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0000_5142-33396-0044__T1__NBASIC__121,121,5142,8,26.54747553286765,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0000_5142-33396-0044__T2__NBASIC__5142,5142,121,8,25.155048306470427,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0002_4446-2273-0036__T1__NBASIC__121,121,4446,5,11.734929413672761,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0002_4446-2273-0036__T2__NBASIC__4446,4446,121,5,24.12924370543978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0005_4507-16021-0046__T1__NBASIC__121,121,4507,8,31.596367088304625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0005_4507-16021-0046__T2__NBASIC__4507,4507,121,8,37.02679860466376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0019_4446-2275-0029__T1__NBASIC__121,121,4446,6,2.8795195566126166,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,1,0,1,0,0,0,0,0
121-127105-0019_4446-2275-0029__T2__NBASIC__4446,4446,121,6,15.560717383602485,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,1,0,1,0,0,0,0,0
