chunks_1s,chunks_2s,ecapa_mismatch_rate_1s,ecapa_mismatch_rate_2s,interferer_spk,key,local_sisdr_gap_mean_1s,local_sisdr_gap_mean_2s,mv_mismatch_rate_1s,mv_mismatch_rate_2s,mv_true_swap_rate_1s,mv_true_swap_rate_2s,target_spk,utterance_si_sdr_gap,utterance_si_sdr_interferer,utterance_si_sdr_target,verifier_instability_rate_1s,verifier_instability_rate_2s
9,4,0.0,0.0,672,672-122797-0006_5683-32865-0017,15.677591957856034,16.11465536162593,0.0,0.0,0.0,0.0,5683,10.948282201262241,-7.039825261272156,3.908456939990085,0.0,0.0
12,5,0.0,0.0,1580,8455-210777-0053_1580-141084-0041,39.961396494703784,40.82954362092339,0.0,0.0,0.0,0.0,8455,37.424706697162314,-24.09804629300753,13.326660404154785,0.0,0.0
12,5,0.0,0.0,8455,8455-210777-0053_1580-141084-0041,35.81605989799508,36.74691254209847,0.0,0.0,0.0,0.0,1580,34.60544582633811,-24.562132033523376,10.043313792814736,0.0,0.0
17,8,0.0,0.0,908,7176-88083-0022_908-31957-0001,34.728855699791836,34.47767260702365,0.0,0.0,0.0,0.0,7176,33.31975916429481,-20.04380404386067,13.275955120434135,0.11764705882352941,0.0
17,8,1.0,1.0,7176,7176-88083-0022_908-31957-0001,-33.174853702149015,-33.40805477659072,0.8823529411764706,1.0,0.8823529411764706,1.0,908,-32.30322411029468,13.140383961578246,-19.162840148716434,0.11764705882352941,0.0
9,4,0.0,0.0,237,672-122797-0072_237-134493-0011,46.7378212055727,48.26740975523324,0.0,0.0,0.0,0.0,672,48.60463142061354,-30.832759272333593,17.771872148279947,0.0,0.0
9,4,0.0,0.0,672,672-122797-0072_237-134493-0011,44.33874479922659,45.822632549223634,0.0,0.0,0.0,0.0,237,46.2591301362985,-32.71444132591826,13.544688810380244,0.0,0.0
24,11,0.4583333333333333,0.36363636363636365,237,4970-29095-0031_237-134493-0003,13.63678971400359,13.736558572760213,0.4583333333333333,0.36363636363636365,0.25,0.18181818181818182,4970,15.003233309670481,-11.053358908082425,3.9498744015880574,0.4583333333333333,0.6363636363636364
24,11,0.041666666666666664,0.0,4970,4970-29095-0031_237-134493-0003,21.83027809372304,18.816041316665295,0.0,0.0,0.0,0.0,237,10.745614036185822,-7.466044185794585,3.279569850391237,0.041666666666666664,0.0
6,2,0.16666666666666666,0.0,2830,908-31957-0005_2830-3979-0012,40.63499204915982,42.843332227068224,0.0,0.0,0.0,0.0,908,44.25129796000173,-27.750910886909285,16.500387073092444,0.16666666666666666,0.0
6,2,0.0,0.0,908,908-31957-0005_2830-3979-0012,41.024342626881015,44.23401778725021,0.0,0.0,0.0,0.0,2830,40.53005793131939,-26.94189415696428,13.58816377435511,0.0,0.0
14,6,0.0,0.0,8455,4446-2275-0002_8455-210777-0045,39.208480508702486,40.70154581714869,0.0,0.0,0.0,0.0,4446,40.30628205922676,-28.232822522274766,12.073459536951997,0.07142857142857142,0.0
14,6,0.07142857142857142,0.0,4446,4446-2275-0002_8455-210777-0045,44.636801587705285,45.87245934720144,0.0,0.0,0.0,0.0,8455,45.59961903465478,-29.151214354838256,16.448404679816527,0.14285714285714285,0.0
12,5,0.0,0.0,8455,6829-68771-0013_8455-210777-0011,32.58325782445987,33.12157268396721,0.0,0.0,0.0,0.0,6829,31.262867726194617,-23.214786057752534,8.048081668442084,0.0,0.0
12,5,0.0,0.0,6829,6829-68771-0013_8455-210777-0011,35.44854476798478,38.28220760634936,0.0,0.0,0.0,0.0,8455,33.14601873083763,-22.185846501873993,10.96017222896364,0.0,0.0
12,5,0.0,0.0,8555,3575-170457-0009_8555-284447-0023,24.006277388902095,22.671839266978793,0.0,0.0,0.0,0.0,3575,21.67017057668227,-13.463117261455473,8.207053315226798,0.0,0.0
12,5,0.5,0.4,3575,3575-170457-0009_8555-284447-0023,8.632327363314186,10.022199996563986,0.3333333333333333,0.2,0.08333333333333333,0.0,8555,6.649469278198985,-4.904480297362852,1.7449889808361325,0.5833333333333334,0.8
7,3,0.2857142857142857,0.3333333333333333,672,7127-75946-0020_672-122797-0054,3.817762861465534,1.0287440473292193,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.3333333333333333,7127,-0.05551962681285327,-0.8910978147191123,-0.9466174415319656,0.14285714285714285,0.0
7,3,0.5714285714285714,0.6666666666666666,7127,7127-75946-0020_672-122797-0054,-1.0532592102535954,0.1319963739775775,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.3333333333333333,672,-0.18901037896030787,-0.39049246160799517,-0.579502840568303,0.2857142857142857,0.0
23,11,0.0,0.0,1188,121-123852-0002_1188-133604-0003,36.340245519080625,36.426396559191716,0.0,0.0,0.0,0.0,121,36.49009238347978,-25.309935852382033,11.18015653109774,0.7391304347826086,0.6363636363636364
23,11,0.0,0.0,121,121-123852-0002_1188-133604-0003,40.42789108836146,40.82667136913026,0.0,0.0,0.0,0.0,1188,40.19079821797499,-25.340828396397832,14.849969821577158,0.0,0.0
9,4,1.0,1.0,3575,237-126133-0022_3575-170457-0054,-34.98394237345237,-34.88099444873563,0.8888888888888888,1.0,0.8888888888888888,1.0,237,-36.20386938486324,11.982238134323534,-24.22163125053971,0.1111111111111111,0.0
9,4,0.0,0.0,237,237-126133-0022_3575-170457-0054,44.32028445785928,42.75673675433177,0.0,0.0,0.0,0.0,3575,43.539218724105964,-31.172501532602777,12.36671719150319,0.1111111111111111,0.0
9,4,0.0,0.0,7127,8230-279154-0004_7127-75947-0023,34.384505801785586,30.798893719537322,0.0,0.0,0.0,0.0,8230,33.52854223685994,-21.277683325065134,12.250858911794806,0.0,0.0
9,4,0.0,0.0,8230,8230-279154-0004_7127-75947-0023,32.41001023395659,29.66833554870962,0.0,0.0,0.0,0.0,7127,31.20107992272017,-21.003168925014993,10.197910997705176,0.1111111111111111,0.0
5,2,0.0,0.0,61,8463-294828-0033_61-70968-0029,23.44813691013099,23.550024449054142,0.0,0.0,0.0,0.0,8463,23.694605519975724,-17.942044591882368,5.752560928093357,0.0,0.0
5,2,0.0,0.0,8463,8463-294828-0033_61-70968-0029,32.5739588243743,32.773047720537335,0.0,0.0,0.0,0.0,61,31.87575729831906,-19.429570586233776,12.446186712085282,0.4,0.0
6,2,0.0,0.0,237,2961-961-0014_237-126133-0008,31.063819426431042,29.727856620839272,0.0,0.0,0.0,0.0,2961,29.374093032738273,-18.696153984134234,10.677939048604038,0.16666666666666666,0.0
6,2,0.3333333333333333,0.0,2961,2961-961-0014_237-126133-0008,24.48350579941433,22.766381698323094,0.0,0.0,0.0,0.0,237,18.80757971489722,-11.682451877228301,7.125127837668917,0.6666666666666666,0.5
6,2,0.0,0.0,3570,4446-2275-0028_3570-5696-0009,32.33847840895374,36.9109086621714,0.0,0.0,0.0,0.0,4446,33.40428132994778,-23.165925577884803,10.238355752062978,0.0,0.0
6,2,0.0,0.0,4446,4446-2275-0028_3570-5696-0009,37.358991092737334,37.44271500236631,0.0,0.0,0.0,0.0,3570,37.05135747021766,-23.94040934307639,13.110948127141269,0.0,0.0
5,2,0.0,0.0,4446,8555-292519-0003_4446-2271-0010,41.485352403766065,41.71881750758353,0.0,0.0,0.0,0.0,8555,41.94914996657827,-28.002156310624315,13.946993655953953,0.0,0.0
5,2,0.0,0.0,8555,8555-292519-0003_4446-2271-0010,42.16304497582536,41.38691262044743,0.0,0.0,0.0,0.0,4446,41.51805279502583,-28.985750388822314,12.532302406203515,0.0,0.0
6,2,0.0,0.0,4446,7729-102255-0014_4446-2271-0011,35.81692531788718,38.10688183446323,0.0,0.0,0.0,0.0,7729,37.33457878389545,-22.120409617329592,15.214169166565863,0.0,0.0
6,2,0.3333333333333333,0.0,7729,7729-102255-0014_4446-2271-0011,29.886207603161157,30.688384511198542,0.0,0.0,0.0,0.0,4446,28.688665772177593,-22.630886800999733,6.057778971177859,0.5,0.0
10,4,0.1,0.0,1580,8455-210777-0039_1580-141083-0033,36.13367187554367,38.07872721041479,0.0,0.0,0.0,0.0,8455,38.53019803449722,-26.805792067614277,11.724405966882937,0.2,0.0
10,4,0.0,0.0,8455,8455-210777-0039_1580-141083-0033,38.81969306527701,40.218512806626144,0.0,0.0,0.0,0.0,1580,41.80975400615923,-26.678154823427707,15.131599182731524,0.0,0.0
7,3,0.0,0.0,908,237-134500-0006_908-157963-0000,41.149050036614156,41.01435069897021,0.0,0.0,0.0,0.0,237,42.26982344700344,-27.677485616262082,14.592337830741355,0.0,0.0
7,3,0.0,0.0,237,237-134500-0006_908-157963-0000,38.78380973719998,36.7189640958972,0.0,0.0,0.0,0.0,908,42.50788443170484,-30.808309367634422,11.69957506407042,0.0,0.0
5,2,0.0,0.0,8230,4446-2273-0033_8230-279154-0028,40.327666617364095,39.46611105272159,0.0,0.0,0.0,0.0,4446,40.7613911431859,-28.939034752150846,11.822356391035049,0.0,0.0
5,2,0.0,0.0,4446,4446-2273-0033_8230-279154-0028,39.45284490446742,39.7707300895018,0.0,0.0,0.0,0.0,8230,41.232928000874004,-26.706088875497368,14.526839125376638,0.0,0.0
11,5,0.0,0.0,8463,3575-170457-0029_8463-287645-0004,36.98214705104828,36.1121757556989,0.0,0.0,0.0,0.0,3575,38.790308238490695,-26.829738016910664,11.960570221580033,0.09090909090909091,0.0
11,5,0.0,0.0,3575,3575-170457-0029_8463-287645-0004,40.649149773117244,38.89540801468472,0.0,0.0,0.0,0.0,8463,40.20271138363946,-25.694860176362138,14.507851207277325,0.0,0.0
6,2,0.0,0.0,6829,8463-294828-0031_6829-68769-0051,40.56079248530775,39.56015256272903,0.0,0.0,0.0,0.0,8463,40.69440488294166,-26.314694194679255,14.379710688262406,0.0,0.0
6,2,0.0,0.0,8463,8463-294828-0031_6829-68769-0051,32.021543939241944,32.02988799923612,0.0,0.0,0.0,0.0,6829,32.65393922778143,-22.184358830133633,10.469580397647798,0.0,0.0
10,4,0.0,0.0,2961,4077-13754-0003_2961-961-0017,40.62493080950709,40.71667805254151,0.0,0.0,0.0,0.0,4077,39.38957743310031,-23.72776376514227,15.661813667958038,0.0,0.0
10,4,0.1,0.0,4077,4077-13754-0003_2961-961-0017,31.23150381076607,31.74331268045445,0.0,0.0,0.0,0.0,2961,32.26903076207806,-23.197582103758787,9.07144865831927,0.1,0.0
5,2,0.0,0.0,2830,7176-88083-0008_2830-3980-0048,27.126321293909303,27.763626256106214,0.0,0.0,0.0,0.0,7176,29.05854449024712,-19.702218324966594,9.356326165280525,0.0,0.0
5,2,0.0,0.0,7176,7176-88083-0008_2830-3980-0048,26.388478050836692,25.205566741319558,0.0,0.0,0.0,0.0,2830,28.46193038189985,-19.556182296315782,8.905748085584069,0.4,0.0
6,2,0.0,0.0,4446,6829-68771-0014_4446-2273-0027,37.03207591521521,36.49799337143287,0.0,0.0,0.0,0.0,6829,36.485618583897164,-22.381420035315756,14.10419854858141,0.0,0.0
6,2,0.0,0.0,6829,6829-68771-0014_4446-2273-0027,31.137228889244597,29.503732332225976,0.0,0.0,0.0,0.0,4446,30.08407535066857,-24.76557667585322,5.3184986748153475,0.16666666666666666,0.0
8,3,0.0,0.0,4970,1089-134691-0025_4970-29095-0012,36.80190098885281,36.84436530031512,0.0,0.0,0.0,0.0,1089,32.168316806091546,-20.610617596189208,11.557699209902339,0.0,0.0
8,3,0.0,0.0,1089,1089-134691-0025_4970-29095-0012,41.87147297874269,44.35740779272752,0.0,0.0,0.0,0.0,4970,42.465486655043705,-31.32743786817074,11.138048786872963,0.0,0.0
6,2,0.0,0.0,7176,2300-131720-0024_7176-92135-0003,25.554986487933515,22.397565146566443,0.0,0.0,0.0,0.0,2300,23.52005492454638,-14.937662762209044,8.582392162337333,0.16666666666666666,0.0
6,2,0.0,0.0,2300,2300-131720-0024_7176-92135-0003,23.80009929190091,18.45695673800465,0.0,0.0,0.0,0.0,7176,19.222587854456805,-14.145451268527687,5.077136585929118,0.0,0.0
5,2,0.0,0.0,4992,237-134500-0023_4992-41806-0006,5.424257753301424,8.113457098839381,0.0,0.0,0.0,0.0,237,6.643644856304414,-3.4842176862433143,3.1594271700611,0.2,0.0
5,2,0.0,0.0,237,237-134500-0023_4992-41806-0006,31.845759722443425,32.73737721520424,0.0,0.0,0.0,0.0,4992,32.75849718094109,-22.18430187386872,10.574195307072372,0.2,0.0
6,2,0.0,0.0,8463,7021-79740-0009_8463-294828-0014,43.481847094708826,46.24779951940411,0.0,0.0,0.0,0.0,7021,43.30308229649422,-29.905593665936635,13.397488630557584,0.0,0.0
6,2,0.0,0.0,7021,7021-79740-0009_8463-294828-0014,38.87469897273545,41.33230077583425,0.0,0.0,0.0,0.0,8463,39.92828677025594,-27.355800408506102,12.572486361749839,0.0,0.0
5,2,0.0,0.0,8555,4077-13751-0006_8555-292519-0011,43.565113610507396,45.198581216209206,0.0,0.0,0.0,0.0,4077,49.12092887446549,-31.86067442586721,17.260254448598285,0.0,0.0
5,2,0.0,0.0,4077,4077-13751-0006_8555-292519-0011,47.798823666093206,49.341281273259625,0.0,0.0,0.0,0.0,8555,50.334111920931434,-34.75536937169138,15.578742549240058,0.2,0.0
5,2,0.0,0.0,5142,8230-279154-0034_5142-33396-0014,38.42208257377949,39.092892095621586,0.0,0.0,0.0,0.0,8230,37.88101333867141,-25.085754051813687,12.795259286857721,0.0,0.0
5,2,0.0,0.0,8230,8230-279154-0034_5142-33396-0014,36.72217966092637,37.648317602238144,0.0,0.0,0.0,0.0,5142,36.0434199685936,-23.96818302095287,12.075236947640722,0.0,0.0
14,6,0.0,0.0,672,61-70968-0035_672-122797-0025,30.949119151420746,31.72600143535441,0.0,0.0,0.0,0.0,61,31.75031339227067,-19.33361347693063,12.416699915340041,0.07142857142857142,0.0
14,6,0.0,0.0,61,61-70968-0035_672-122797-0025,18.97664987084135,17.8577360025026,0.0,0.0,0.0,0.0,672,25.5529483467678,-18.697293934551944,6.855654412215854,0.21428571428571427,0.0
7,3,0.14285714285714285,0.0,1580,4507-16021-0055_1580-141083-0013,39.858857691574926,39.33645436768609,0.0,0.0,0.0,0.0,4507,42.4772128234122,-25.86938795054904,16.607824872863166,0.2857142857142857,0.0
7,3,0.0,0.0,4507,4507-16021-0055_1580-141083-0013,34.470561248741426,32.98244700779187,0.0,0.0,0.0,0.0,1580,33.90330073898423,-24.84746301723017,9.055837721754061,0.2857142857142857,0.0
16,7,0.0,0.0,3729,5683-32879-0000_3729-6852-0002,32.897950762675684,34.47381197986947,0.0,0.0,0.0,0.0,5683,34.41211539733248,-19.947242495974,14.464872901358481,0.0,0.0
16,7,0.0625,0.0,5683,5683-32879-0000_3729-6852-0002,29.167259106780303,31.163984068573946,0.0625,0.0,0.0,0.0,3729,28.81646796111039,-20.934758963965784,7.881708997144607,0.25,0.0
7,3,0.2857142857142857,0.3333333333333333,237,3570-5694-0021_237-134500-0014,23.399664113567233,23.098444439335207,0.14285714285714285,0.0,0.0,0.0,3570,16.573751449322863,-11.933459018787412,4.640292430535451,0.2857142857142857,0.3333333333333333
7,3,1.0,1.0,3570,3570-5694-0021_237-134500-0014,-26.051789711384583,-25.693164865418712,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.6666666666666666,237,-25.02571576837444,8.284043303960296,-16.741672464414144,0.14285714285714285,0.3333333333333333
9,4,0.1111111111111111,0.0,6829,5683-32866-0009_6829-68769-0020,41.637506303092145,43.96542078079845,0.0,0.0,0.0,0.0,5683,43.373593239938685,-30.07929118315214,13.294302056786545,0.1111111111111111,0.0
9,4,0.0,0.0,5683,5683-32866-0009_6829-68769-0020,40.23211916089111,41.32688232051494,0.0,0.0,0.0,0.0,6829,40.38283139156333,-27.791834118624422,12.59099727293891,0.0,0.0
5,2,0.0,0.0,2961,5142-33396-0009_2961-961-0021,30.305130962476767,30.716618120627896,0.0,0.0,0.0,0.0,5142,31.952662353216507,-20.09062607327691,11.862036279939598,0.0,0.0
5,2,0.6,0.5,5142,5142-33396-0009_2961-961-0021,23.600538614469837,21.620705337675584,0.2,0.0,0.0,0.0,2961,26.689861812906727,-18.580929464077098,8.108932348829628,0.4,0.5
