condition,cue,key,target_spk,utterance_si_sdr_target,mixture_si_sdr_target,traditional_sisnri
normal-basic-clean-test fixed-enroll,USEF,4077-13751-0010_8463-294825-0002,4077,12.744363599921794,0.7714295216067215,11.972934078315072
normal-basic-clean-test fixed-enroll,USEF,4077-13751-0010_8463-294825-0002,8463,12.20751271021385,-0.8277614416142154,13.035274151828066
normal-basic-clean-test fixed-enroll,USEF,2830-3980-0024_1188-133604-0000,2830,13.70106937294102,6.598386479921205,7.102682893019816
normal-basic-clean-test fixed-enroll,USEF,2830-3980-0024_1188-133604-0000,1188,-5.049441585120251,-6.768569301678934,1.719127716558683
normal-basic-clean-test fixed-enroll,USEF,6930-75918-0004_8224-274384-0006,6930,10.194715199836889,-0.39405184187070197,10.588767041707591
normal-basic-clean-test fixed-enroll,USEF,6930-75918-0004_8224-274384-0006,8224,12.175013424113004,0.5021649377662503,11.672848486346753
normal-basic-clean-test fixed-enroll,USEF,2094-142345-0035_4507-16021-0022,2094,13.460269016536724,4.881988865385665,8.57828015115106
normal-basic-clean-test fixed-enroll,USEF,2094-142345-0035_4507-16021-0022,4507,8.372152048416229,-5.184604366356198,13.556756414772426
normal-basic-clean-test fixed-enroll,USEF,1580-141084-0042_2830-3980-0010,1580,14.219761607705442,0.6928645219434153,13.526897085762027
normal-basic-clean-test fixed-enroll,USEF,1580-141084-0042_2830-3980-0010,2830,13.290200843400694,-0.5536272212625662,13.84382806466326
normal-basic-clean-test fixed-enroll,USEF,1284-1181-0002_3570-5694-0002,1284,8.93867065211926,-1.374911469425183,10.313582121544442
normal-basic-clean-test fixed-enroll,USEF,1284-1181-0002_3570-5694-0002,3570,10.367818046351475,1.776019573697839,8.591798472653636
